,0,1,2,3,4,5,6,7,8,9
2015-01-30,BLDR,DECK,BWA,GNRC,ALGN,KEY,ROL,UAL,RJF,DAL
2015-02-27,BLDR,DECK,UAL,ALGN,KEY,HBAN,BWA,DAL,AXON,DPZ
2015-03-31,BLDR,DECK,BWA,UAL,HBAN,DAL,AXON,KEY,POOL,DPZ
2015-04-30,BLDR,DECK,CNC,HBAN,BWA,MOH,UAL,AXON,KEY,EXR
2015-05-29,BLDR,DECK,CNC,HBAN,MOH,MTB,AXON,UAL,KEY,PCAR
2015-06-30,BLDR,DECK,CNC,MTB,HBAN,AXON,MOH,UAL,ATO,PCAR
2015-07-31,BLDR,ENPH,DECK,CNC,GNRC,AMD,MOH,MTB,AXON,LDOS
2015-08-31,BLDR,ENPH,AMD,CNC,DPZ,MOH,DECK,MTB,LDOS,AMAT
2015-09-30,DECK,BLDR,ENPH,CNC,SCHW,POOL,LULU,MTB,MOH,LDOS
2015-10-30,DECK,BLDR,SCHW,MTB,LDOS,SMCI,DAL,KEY,PCAR,FICO
2015-11-30,BLDR,DECK,SCHW,ENPH,SMCI,LULU,LOW,PCAR,LDOS,MNST
2015-12-31,BLDR,DECK,SCHW,SMCI,MNST,LDOS,LOW,MOH,UAL,KEY
2016-01-29,BLDR,DECK,DHI,PHM,FICO,LEN,BBY,PCAR,SMCI,UAL
2016-02-29,BLDR,GNRC,DECK,BBY,PCAR,QRVO,SMCI,FICO,DHI,AXON
2016-03-31,BLDR,GNRC,DECK,BBY,DHI,SMCI,FICO,PAYC,PCAR,AXON
2016-04-29,GNRC,BBY,DECK,ODFL,PCAR,BLDR,AXON,QRVO,SMCI,FICO
2016-05-31,BLDR,GNRC,DECK,BBY,PHM,PCAR,FICO,AXON,SMCI,NDSN
2016-06-30,GNRC,BLDR,DECK,BBY,PHM,PCAR,FICO,SMCI,ODFL,DHI
2016-07-29,GNRC,DECK,PCAR,PHM,BWA,SMCI,BLDR,BBY,FICO,ODFL
2016-08-31,GNRC,BLDR,PHM,PCAR,BWA,BBY,FICO,DECK,SMCI,QRVO
2016-09-30,GNRC,BLDR,PHM,DECK,NDSN,BWA,FICO,PCAR,SMCI,DHI
2016-10-31,BLDR,GNRC,NDSN,DECK,PHM,IP,ODFL,ENPH,KMX,TPR
2016-11-30,NVDA,GNRC,AMP,NUE,FICO,DECK,KMX,NDSN,AMD,IP
2016-12-30,NVDA,NUE,AMP,GNRC,FICO,KMX,MTCH,NDSN,IP,PHM
2017-01-31,AMD,GNRC,BLDR,CZR,NUE,NVDA,NDSN,KMX,ODFL,GM
2017-02-28,AMD,NVDA,GNRC,CZR,BLDR,KMX,NUE,ODFL,NDSN,TGT
2017-03-31,NVDA,AMD,GNRC,KMX,BLDR,NUE,STLD,IP,CZR,NDSN
2017-04-28,NVDA,GNRC,KMX,BLDR,NUE,STLD,FCX,GM,CZR,URI
2017-05-31,NVDA,AMD,FCX,GNRC,BLDR,KMX,NUE,GM,CZR,URI
2017-06-30,AMD,FCX,URI,CZR,BLDR,GNRC,ENPH,NVDA,ON,STLD
2017-07-31,FCX,URI,QRVO,BLDR,AMD,GNRC,NVDA,KMX,CZR,ON
2017-08-31,URI,FCX,BLDR,NVDA,QRVO,KMX,AMD,CBRE,ON,CZR
2017-09-29,FCX,URI,ENPH,BLDR,NVDA,KMX,QRVO,GNRC,AMD,CMI
2017-10-31,FCX,URI,STLD,BLDR,NVDA,QRVO,CMI,ON,IEX,J
2017-11-30,ENPH,URI,FCX,BLDR,STLD,CAT,CMI,LOW,IEX,DOV
2017-12-29,URI,BLDR,FCX,CAT,DECK,IEX,ODFL,CMI,PWR,LOW
2018-01-31,URI,CAT,BLDR,IEX,CMI,DECK,LOW,JBHT,ENPH,ODFL
2018-02-28,URI,CAT,ODFL,BLDR,ZBRA,FCX,PH,LOW,JBHT,DECK
2018-03-30,URI,CAT,DECK,BLDR,ODFL,ZBRA,JBHT,PH,FCX,HII
2018-04-30,URI,ODFL,JBHT,BLDR,DECK,CAT,FCX,CFG,PCAR,PH
2018-05-31,URI,ODFL,JBHT,BLDR,CAT,MTCH,PCAR,DE,CFG,TGT
2018-06-29,URI,ODFL,FCX,BLDR,JBHT,DECK,DE,DG,TGT,CAT
2018-07-31,URI,ODFL,TGT,BLDR,DECK,DE,JBHT,DG,ROST,CAT
2018-08-31,URI,ODFL,TGT,BLDR,FCX,JBHT,DE,DECK,DG,ROST
2018-09-28,ODFL,BLDR,TGT,URI,JBHT,DECK,DE,BBY,DG,ROST
2018-10-31,ODFL,DECK,TGT,KR,BBY,LHX,JBHT,ROST,HII,URI
2018-11-30,ROST,TGT,ODFL,DECK,J,KR,URI,BLDR,DG,JBHT
2018-12-31,ROST,TGT,ODFL,BLDR,J,DECK,LULU,KR,URI,DG
2019-01-31,BLDR,DECK,ROST,J,ODFL,LULU,URI,KEY,UAL,KR
2019-02-28,BLDR,ORLY,ROST,ODFL,KEY,URI,UAL,LULU,DECK,TGT
2019-03-29,BLDR,ORLY,ROST,URI,KEY,ODFL,UAL,LULU,TSCO,DECK
2019-04-30,BLDR,ORLY,URI,ROST,LULU,ENPH,PAYC,KEY,DECK,TGT
2019-05-31,BLDR,ORLY,URI,PAYC,ROST,LULU,KEY,DECK,TSCO,RL
2019-06-28,BLDR,ORLY,KEY,ENPH,LULU,DXCM,ODFL,URI,RL,DECK
2019-07-31,BLDR,ODFL,KEY,URI,ENPH,LULU,ORLY,TGT,KR,TSCO
2019-08-30,ENPH,BLDR,KEY,ODFL,LULU,ZBRA,RL,IR,ORLY,URI
